BOARDID;SECID;TRADEDATE;SHORTNAME;NAME;CLOSE;OPEN;HIGH;LOW;VALUE;DURATION;YIELD;DECIMALS;CAPITALIZATION;CURRENCYID;DIVISOR;TRADINGSESSION;VOLUME
SNDX;IMOEX;07.03.2014;Индекс МосБиржи;Индекс МосБиржи;1339,36;1337,5;1359,45;1322,08;49801950288;;;2;6,05224E+12;RUB;4518760150;3;
SNDX;IMOEX;11.03.2014;Индекс МосБиржи;Индекс МосБиржи;1308,7;1338,5;1338,5;1304,35;43995018689;;;2;5,91372E+12;RUB;4518760150;3;
SNDX;IMOEX;12.03.2014;Индекс МосБиржи;Индекс МосБиржи;1274,21;1307,08;1307,08;1271,74;51965497616;;;2;5,75784E+12;RUB;4518760150;3;
SNDX;IMOEX;13.03.2014;Индекс МосБиржи;Индекс МосБиржи;1248,56;1274,24;1285,93;1247,7;57982552741;;;2;5,64193E+12;RUB;4518760150;3;
SNDX;IMOEX;14.03.2014;Индекс МосБиржи;Индекс МосБиржи;1237,43;1248,29;1248,29;1182,86;82550968523;;;2;5,59164E+12;RUB;4518760150;3;
SNDX;IMOEX;17.03.2014;Индекс МосБиржи;Индекс МосБиржи;1283,7;1237,52;1288,34;1237,52;92131298659;;;2;5,80072E+12;RUB;4518760150;3;
SNDX;IMOEX;18.03.2014;Индекс МосБиржи;Индекс МосБиржи;1335,86;1285,53;1340,16;1278,76;71329119457;;;2;6,02859E+12;RUB;4512891870;3;
SNDX;IMOEX;19.03.2014;Индекс МосБиржи;Индекс МосБиржи;1319,02;1335,84;1352,68;1312,5;63037171113;;;2;5,95262E+12;RUB;4512891870;3;
SNDX;IMOEX;20.03.2014;Индекс МосБиржи;Индекс МосБиржи;1320,5;1316,67;1325,61;1302,68;42677768542;;;2;5,95927E+12;RUB;4512891870;3;
SNDX;IMOEX;21.03.2014;Индекс МосБиржи;Индекс МосБиржи;1307,34;1320,12;1320,12;1270,55;61637716793;;;2;5,89989E+12;RUB;4512891870;3;
SNDX;IMOEX;24.03.2014;Индекс МосБиржи;Индекс МосБиржи;1297,91;1307,34;1332,95;1297,76;42746229557;;;2;5,85731E+12;RUB;4512891870;3;
SNDX;IMOEX;25.03.2014;Индекс МосБиржи;Индекс МосБиржи;1324,44;1297,9;1332,86;1288,97;52552458215;;;2;5,97707E+12;RUB;4512891870;3;
SNDX;IMOEX;26.03.2014;Индекс МосБиржи;Индекс МосБиржи;1349,39;1324,51;1359,88;1324,51;58117795576;;;2;6,08964E+12;RUB;4512891870;3;
SNDX;IMOEX;27.03.2014;Индекс МосБиржи;Индекс МосБиржи;1331,93;1347,83;1351,71;1321,19;44862038717;;;2;6,01086E+12;RUB;4512891870;3;
SNDX;IMOEX;28.03.2014;Индекс МосБиржи;Индекс МосБиржи;1344,12;1333,01;1353,88;1330,46;38623558833;;;2;6,06588E+12;RUB;4512891870;3;
SNDX;IMOEX;31.03.2014;Индекс МосБиржи;Индекс МосБиржи;1369,29;1344,15;1369,29;1343,27;44009638604;;;2;6,17946E+12;RUB;4512891870;3;
SNDX;IMOEX;01.04.2014;Индекс МосБиржи;Индекс МосБиржи;1375,73;1369,32;1378,55;1359,58;43677890257;;;2;6,20854E+12;RUB;4512891870;3;
SNDX;IMOEX;02.04.2014;Индекс МосБиржи;Индекс МосБиржи;1373,33;1375,97;1379,88;1358,46;40080119279;;;2;6,19767E+12;RUB;4512891870;3;
SNDX;IMOEX;03.04.2014;Индекс МосБиржи;Индекс МосБиржи;1366,04;1373,57;1382,08;1360,49;34651168726;;;2;6,16479E+12;RUB;4512891870;3;
SNDX;IMOEX;04.04.2014;Индекс МосБиржи;Индекс МосБиржи;1382,41;1366,43;1388;1361,61;38443658067;;;2;6,23869E+12;RUB;4512891870;3;
SNDX;IMOEX;07.04.2014;Индекс МосБиржи;Индекс МосБиржи;1349,79;1380,15;1380,15;1334,86;56297711554;;;2;6,09144E+12;RUB;4512891870;3;
SNDX;IMOEX;08.04.2014;Индекс МосБиржи;Индекс МосБиржи;1352,33;1349,85;1352,45;1334,63;43914354331;;;2;6,10291E+12;RUB;4512891870;3;
